x1,x2,x3,y
S_PHS,2018,AT,0.0
S_Gas_H2,2018,AT,0.0
S_Battery_Li-Ion,2018,AT,0.0
S_Battery_Redox,2018,AT,0.0
S_Heat_HLR,2018,AT,0.0
S_Heat_HLI,2018,AT,0.0
S_CAES,2018,AT,0.0
S_Gas_Methane,2018,AT,0.0
S_PHS,2025,AT,0.0
S_Gas_H2,2025,AT,0.0
S_Battery_Li-Ion,2025,AT,0.0
S_Battery_Redox,2025,AT,0.0
S_Heat_HLR,2025,AT,0.0
S_Heat_HLI,2025,AT,0.0
S_CAES,2025,AT,0.0
S_Gas_Methane,2025,AT,0.0
S_PHS,2030,AT,0.0
S_Gas_H2,2030,AT,0.0
S_Battery_Li-Ion,2030,AT,0.0
S_Battery_Redox,2030,AT,0.0
S_Heat_HLR,2030,AT,0.0
S_Heat_HLI,2030,AT,0.0
S_CAES,2030,AT,0.0
S_Gas_Methane,2030,AT,0.0
S_PHS,2035,AT,0.0
S_Gas_H2,2035,AT,0.0
S_Battery_Li-Ion,2035,AT,0.0
S_Battery_Redox,2035,AT,0.0
S_Heat_HLR,2035,AT,0.0
S_Heat_HLI,2035,AT,0.0
S_CAES,2035,AT,0.0
S_Gas_Methane,2035,AT,0.0
S_PHS,2040,AT,0.0
S_Gas_H2,2040,AT,0.0
S_Battery_Li-Ion,2040,AT,0.0
S_Battery_Redox,2040,AT,0.0
S_Heat_HLR,2040,AT,0.0
S_Heat_HLI,2040,AT,0.0
S_CAES,2040,AT,0.0
S_Gas_Methane,2040,AT,0.0
S_PHS,2045,AT,0.0
S_Gas_H2,2045,AT,0.0
S_Battery_Li-Ion,2045,AT,0.0
S_Battery_Redox,2045,AT,0.0
S_Heat_HLR,2045,AT,0.0
S_Heat_HLI,2045,AT,0.0
S_CAES,2045,AT,0.0
S_Gas_Methane,2045,AT,0.0
S_PHS,2050,AT,0.0
S_Gas_H2,2050,AT,0.0
S_Battery_Li-Ion,2050,AT,0.0
S_Battery_Redox,2050,AT,0.0
S_Heat_HLR,2050,AT,0.0
S_Heat_HLI,2050,AT,0.0
S_CAES,2050,AT,0.0
S_Gas_Methane,2050,AT,0.0
S_PHS,2018,BE,0.0
S_Gas_H2,2018,BE,0.0
S_Battery_Li-Ion,2018,BE,0.0
S_Battery_Redox,2018,BE,0.0
S_Heat_HLR,2018,BE,0.0
S_Heat_HLI,2018,BE,0.0
S_CAES,2018,BE,0.0
S_Gas_Methane,2018,BE,0.0
S_PHS,2025,BE,0.0
S_Gas_H2,2025,BE,0.0
S_Battery_Li-Ion,2025,BE,0.0
S_Battery_Redox,2025,BE,0.0
S_Heat_HLR,2025,BE,0.0
S_Heat_HLI,2025,BE,0.0
S_CAES,2025,BE,0.0
S_Gas_Methane,2025,BE,0.0
S_PHS,2030,BE,0.0
S_Gas_H2,2030,BE,0.0
S_Battery_Li-Ion,2030,BE,0.0
S_Battery_Redox,2030,BE,0.0
S_Heat_HLR,2030,BE,0.0
S_Heat_HLI,2030,BE,0.0
