x1,x2,x3,y
HU,2040,1932,0.0
IE,2040,1932,0.0
IT,2040,1932,0.0
LT,2040,1932,0.0
LU,2040,1932,0.0
LV,2040,1932,0.0
NL,2040,1932,0.0
NO,2040,1932,0.0
PL,2040,1932,0.0
PT,2040,1932,0.0
RO,2040,1932,0.0
SE,2040,1932,0.0
SI,2040,1932,0.0
SK,2040,1932,0.0
TR,2040,1932,0.0
UK,2040,1932,0.0
NONEU_Balkan,2040,1932,0.0
AT,2045,1932,0.0
BE,2045,1932,0.0
BG,2045,1932,0.0
CH,2045,1932,0.0
CZ,2045,1932,0.0
DE,2045,1932,0.0
DK,2045,1932,0.0
EE,2045,1932,0.0
ES,2045,1932,0.0
FI,2045,1932,0.0
FR,2045,1932,0.0
GR,2045,1932,0.0
HR,2045,1932,0.0
HU,2045,1932,0.0
IE,2045,1932,0.0
IT,2045,1932,0.0
LT,2045,1932,0.0
LU,2045,1932,0.0
LV,2045,1932,0.0
NL,2045,1932,0.0
NO,2045,1932,0.0
PL,2045,1932,0.0
PT,2045,1932,0.0
RO,2045,1932,0.0
SE,2045,1932,0.0
SI,2045,1932,0.0
SK,2045,1932,0.0
TR,2045,1932,0.0
UK,2045,1932,0.0
NONEU_Balkan,2045,1932,0.0
AT,2050,1932,0.0
BE,2050,1932,0.0
BG,2050,1932,0.0
CH,2050,1932,0.0
CZ,2050,1932,0.0
DE,2050,1932,0.0
DK,2050,1932,0.0
EE,2050,1932,0.0
ES,2050,1932,0.0
FI,2050,1932,0.0
FR,2050,1932,0.0
GR,2050,1932,0.0
HR,2050,1932,0.0
HU,2050,1932,0.0
IE,2050,1932,0.0
IT,2050,1932,0.0
LT,2050,1932,0.0
LU,2050,1932,0.0
LV,2050,1932,0.0
NL,2050,1932,0.0
NO,2050,1932,0.0
PL,2050,1932,0.0
PT,2050,1932,0.0
RO,2050,1932,0.0
SE,2050,1932,0.0
SI,2050,1932,0.0
SK,2050,1932,0.0
TR,2050,1932,0.0
UK,2050,1932,0.0
NONEU_Balkan,2050,1932,0.0
AT,2018,3856,0.0
BE,2018,3856,0.0
BG,2018,3856,0.0
CH,2018,3856,0.0
CZ,2018,3856,0.0
DE,2018,3856,0.0
DK,2018,3856,0.0
EE,2018,3856,0.0
ES,2018,3856,0.0
FI,2018,3856,0.0
FR,2018,3856,0.0
GR,2018,3856,0.0
HR,2018,3856,0.0
HU,2018,3856,0.0
IE,2018,3856,0.0
IT,2018,3856,0.0
LT,2018,3856,0.0
LU,2018,3856,0.0
LV,2018,3856,0.0
NL,2018,3856,0.0
NO,2018,3856,0.0
PL,2018,3856,0.0
PT,2018,3856,0.0
RO,2018,3856,0.0
SE,2018,3856,0.0
SI,2018,3856,0.0
SK,2018,3856,0.0
TR,2018,3856,0.0
UK,2018,3856,0.0
NONEU_Balkan,2018,3856,0.0
AT,2025,3856,0.0
BE,2025,3856,0.0
BG,2025,3856,0.0
CH,2025,3856,0.0
CZ,2025,3856,0.0
DE,2025,3856,0.0
DK,2025,3856,0.0
EE,2025,3856,0.0
ES,2025,3856,0.0
FI,2025,3856,0.0
FR,2025,3856,0.0
GR,2025,3856,0.0
HR,2025,3856,0.0
HU,2025,3856,0.0
IE,2025,3856,0.0
IT,2025,3856,0.0
LT,2025,3856,0.0
LU,2025,3856,0.0
LV,2025,3856,0.0
NL,2025,3856,0.0
NO,2025,3856,0.0
PL,2025,3856,0.0
PT,2025,3856,0.0
RO,2025,3856,0.0
SE,2025,3856,0.0
SI,2025,3856,0.0
SK,2025,3856,0.0
TR,2025,3856,0.0
UK,2025,3856,0.0
NONEU_Balkan,2025,3856,0.0
AT,2030,3856,0.0
BE,2030,3856,0.0
BG,2030,3856,0.0
CH,2030,3856,0.0
CZ,2030,3856,0.0
DE,2030,3856,0.0
DK,2030,3856,0.0
EE,2030,3856,0.0
ES,2030,3856,0.0
FI,2030,3856,0.0
FR,2030,3856,0.0
GR,2030,3856,0.0
HR,2030,3856,0.0
HU,2030,3856,0.0
IE,2030,3856,0.0
IT,2030,3856,0.0
LT,2030,3856,0.0
LU,2030,3856,0.0
LV,2030,3856,0.0
NL,2030,3856,0.0
NO,2030,3856,0.0
PL,2030,3856,0.0
PT,2030,3856,0.0
RO,2030,3856,0.0
SE,2030,3856,0.0
SI,2030,3856,0.0
SK,2030,3856,0.0
TR,2030,3856,0.0
UK,2030,3856,0.0
NONEU_Balkan,2030,3856,0.0
AT,2035,3856,0.0
BE,2035,3856,0.0
BG,2035,3856,0.0
CH,2035,3856,0.0
CZ,2035,3856,0.0
DE,2035,3856,0.0
DK,2035,3856,0.0
EE,2035,3856,0.0
ES,2035,3856,0.0
FI,2035,3856,0.0
FR,2035,3856,0.0
GR,2035,3856,0.0
HR,2035,3856,0.0
HU,2035,3856,0.0
IE,2035,3856,0.0
IT,2035,3856,0.0
LT,2035,3856,0.0
LU,2035,3856,0.0
LV,2035,3856,0.0
NL,2035,3856,0.0
NO,2035,3856,0.0
PL,2035,3856,0.0
PT,2035,3856,0.0
RO,2035,3856,0.0
SE,2035,3856,0.0
SI,2035,3856,0.0
SK,2035,3856,0.0
TR,2035,3856,0.0
UK,2035,3856,0.0
NONEU_Balkan,2035,3856,0.0
AT,2040,3856,0.0
BE,2040,3856,0.0
BG,2040,3856,0.0
CH,2040,3856,0.0
CZ,2040,3856,0.0
DE,2040,3856,0.0
DK,2040,3856,0.0
EE,2040,3856,0.0
ES,2040,3856,0.0
FI,2040,3856,0.0
FR,2040,3856,0.0
GR,2040,3856,0.0
HR,2040,3856,0.0
HU,2040,3856,0.0
IE,2040,3856,0.0
IT,2040,3856,0.0
LT,2040,3856,0.0
LU,2040,3856,0.0
LV,2040,3856,0.0
NL,2040,3856,0.0
NO,2040,3856,0.0
PL,2040,3856,0.0
PT,2040,3856,0.0
RO,2040,3856,0.0
SE,2040,3856,0.0
SI,2040,3856,0.0
SK,2040,3856,0.0
TR,2040,3856,0.0
UK,2040,3856,0.0
NONEU_Balkan,2040,3856,0.0
AT,2045,3856,0.0
BE,2045,3856,0.0
BG,2045,3856,0.0
CH,2045,3856,0.0
CZ,2045,3856,0.0
DE,2045,3856,0.0
DK,2045,3856,0.0
EE,2045,3856,0.0
ES,2045,3856,0.0
FI,2045,3856,0.0
FR,2045,3856,0.0
GR,2045,3856,0.0
HR,2045,3856,0.0
HU,2045,3856,0.0
IE,2045,3856,0.0
IT,2045,3856,0.0
LT,2045,3856,0.0
LU,2045,3856,0.0
LV,2045,3856,0.0
NL,2045,3856,0.0
NO,2045,3856,0.0
PL,2045,3856,0.0
PT,2045,3856,0.0
RO,2045,3856,0.0
SE,2045,3856,0.0
SI,2045,3856,0.0
SK,2045,3856,0.0
TR,2045,3856,0.0
UK,2045,3856,0.0
NONEU_Balkan,2045,3856,0.0
AT,2050,3856,0.0
BE,2050,3856,0.0
BG,2050,3856,0.0
CH,2050,3856,0.0
CZ,2050,3856,0.0
DE,2050,3856,0.0
DK,2050,3856,0.0
EE,2050,3856,0.0
ES,2050,3856,0.0
FI,2050,3856,0.0
FR,2050,3856,0.0
GR,2050,3856,0.0
HR,2050,3856,0.0
HU,2050,3856,0.0
IE,2050,3856,0.0
IT,2050,3856,0.0
LT,2050,3856,0.0
LU,2050,3856,0.0
LV,2050,3856,0.0
NL,2050,3856,0.0
NO,2050,3856,0.0
PL,2050,3856,0.0
PT,2050,3856,0.0
RO,2050,3856,0.0
SE,2050,3856,0.0
SI,2050,3856,0.0
SK,2050,3856,0.0
TR,2050,3856,0.0
UK,2050,3856,0.0
NONEU_Balkan,2050,3856,0.0
AT,2018,5780,0.0
BE,2018,5780,0.0
BG,2018,5780,0.0
CH,2018,5780,0.0
CZ,2018,5780,0.0
DE,2018,5780,0.0
DK,2018,5780,0.0
EE,2018,5780,0.0
ES,2018,5780,0.0
FI,2018,5780,0.0
FR,2018,5780,0.0
GR,2018,5780,0.0
HR,2018,5780,0.0
HU,2018,5780,0.0
IE,2018,5780,0.0
IT,2018,5780,0.0
LT,2018,5780,0.0
LU,2018,5780,0.0
LV,2018,5780,0.0
NL,2018,5780,0.0
NO,2018,5780,0.0
PL,2018,5780,0.0
PT,2018,5780,0.0
RO,2018,5780,0.0
SE,2018,5780,0.0
SI,2018,5780,0.0
SK,2018,5780,0.0
TR,2018,5780,0.0
UK,2018,5780,0.0
NONEU_Balkan,2018,5780,0.0
AT,2025,5780,0.0
BE,2025,5780,0.0
BG,2025,5780,0.0
CH,2025,5780,0.0
CZ,2025,5780,0.0
DE,2025,5780,0.0
DK,2025,5780,0.0
EE,2025,5780,0.0
ES,2025,5780,0.0
FI,2025,5780,0.0
FR,2025,5780,0.0
GR,2025,5780,0.0
HR,2025,5780,0.0
HU,2025,5780,0.0
IE,2025,5780,0.0
IT,2025,5780,0.0
LT,2025,5780,0.0
LU,2025,5780,0.0
LV,2025,5780,0.0
NL,2025,5780,0.0
NO,2025,5780,0.0
PL,2025,5780,0.0
PT,2025,5780,0.0
RO,2025,5780,0.0
SE,2025,5780,0.0
SI,2025,5780,0.0
SK,2025,5780,0.0
TR,2025,5780,0.0
UK,2025,5780,0.0
NONEU_Balkan,2025,5780,0.0
AT,2030,5780,0.0
BE,2030,5780,0.0
BG,2030,5780,0.0
CH,2030,5780,0.0
CZ,2030,5780,0.0
DE,2030,5780,0.0
DK,2030,5780,0.0
EE,2030,5780,0.0
ES,2030,5780,0.0
FI,2030,5780,0.0
FR,2030,5780,0.0
GR,2030,5780,0.0
HR,2030,5780,0.0
HU,2030,5780,0.0
IE,2030,5780,0.0
IT,2030,5780,0.0
LT,2030,5780,0.0
LU,2030,5780,0.0
LV,2030,5780,0.0
NL,2030,5780,0.0
NO,2030,5780,0.0
PL,2030,5780,0.0
PT,2030,5780,0.0
RO,2030,5780,0.0
SE,2030,5780,0.0
SI,2030,5780,0.0
SK,2030,5780,0.0
TR,2030,5780,0.0
UK,2030,5780,0.0
NONEU_Balkan,2030,5780,0.0
AT,2035,5780,0.0
BE,2035,5780,0.0
BG,2035,5780,0.0
CH,2035,5780,0.0
CZ,2035,5780,0.0
DE,2035,5780,0.0
DK,2035,5780,0.0
EE,2035,5780,0.0
ES,2035,5780,0.0
FI,2035,5780,0.0
FR,2035,5780,0.0
GR,2035,5780,0.0
HR,2035,5780,0.0
HU,2035,5780,0.0
IE,2035,5780,0.0
IT,2035,5780,0.0
LT,2035,5780,0.0
LU,2035,5780,0.0
LV,2035,5780,0.0
NL,2035,5780,0.0
NO,2035,5780,0.0
PL,2035,5780,0.0
PT,2035,5780,0.0
RO,2035,5780,0.0
SE,2035,5780,0.0
SI,2035,5780,0.0
SK,2035,5780,0.0
TR,2035,5780,0.0
UK,2035,5780,0.0
NONEU_Balkan,2035,5780,0.0
AT,2040,5780,0.0
BE,2040,5780,0.0
BG,2040,5780,0.0
CH,2040,5780,0.0
CZ,2040,5780,0.0
DE,2040,5780,0.0
DK,2040,5780,0.0
EE,2040,5780,0.0
ES,2040,5780,0.0
FI,2040,5780,0.0
FR,2040,5780,0.0
GR,2040,5780,0.0
HR,2040,5780,0.0
HU,2040,5780,0.0
IE,2040,5780,0.0
IT,2040,5780,0.0
LT,2040,5780,0.0
LU,2040,5780,0.0
LV,2040,5780,0.0
NL,2040,5780,0.0
NO,2040,5780,0.0
PL,2040,5780,0.0
PT,2040,5780,0.0
RO,2040,5780,0.0
SE,2040,5780,0.0
SI,2040,5780,0.0
SK,2040,5780,0.0
TR,2040,5780,0.0
UK,2040,5780,0.0
NONEU_Balkan,2040,5780,0.0
AT,2045,5780,0.0
BE,2045,5780,0.0
BG,2045,5780,0.0
CH,2045,5780,0.0
CZ,2045,5780,0.0
DE,2045,5780,0.0
DK,2045,5780,0.0
EE,2045,5780,0.0
ES,2045,5780,0.0
FI,2045,5780,0.0
FR,2045,5780,0.0
GR,2045,5780,0.0
HR,2045,5780,0.0
HU,2045,5780,0.0
IE,2045,5780,0.0
IT,2045,5780,0.0
LT,2045,5780,0.0
LU,2045,5780,0.0
LV,2045,5780,0.0
NL,2045,5780,0.0
NO,2045,5780,0.0
PL,2045,5780,0.0
PT,2045,5780,0.0
RO,2045,5780,0.0
SE,2045,5780,0.0
SI,2045,5780,0.0
SK,2045,5780,0.0
TR,2045,5780,0.0
UK,2045,5780,0.0
NONEU_Balkan,2045,5780,0.0
AT,2050,5780,0.0
BE,2050,5780,0.0
BG,2050,5780,0.0
CH,2050,5780,0.0
CZ,2050,5780,0.0
DE,2050,5780,0.0
DK,2050,5780,0.0
EE,2050,5780,0.0
ES,2050,5780,0.0
FI,2050,5780,0.0
FR,2050,5780,0.0
GR,2050,5780,0.0
HR,2050,5780,0.0
HU,2050,5780,0.0
IE,2050,5780,0.0
IT,2050,5780,0.0
LT,2050,5780,0.0
LU,2050,5780,0.0
LV,2050,5780,0.0
NL,2050,5780,0.0
NO,2050,5780,0.0
PL,2050,5780,0.0
PT,2050,5780,0.0
RO,2050,5780,0.0
SE,2050,5780,0.0
SI,2050,5780,0.0
SK,2050,5780,0.0
TR,2050,5780,0.0
UK,2050,5780,0.0
NONEU_Balkan,2050,5780,0.0
AT,2018,7704,0.0
BE,2018,7704,0.0
BG,2018,7704,0.0
CH,2018,7704,0.0
CZ,2018,7704,0.0
DE,2018,7704,0.0
DK,2018,7704,0.0
EE,2018,7704,0.0
ES,2018,7704,0.0
FI,2018,7704,0.0
FR,2018,7704,0.0
GR,2018,7704,0.0
HR,2018,7704,0.0
HU,2018,7704,0.0
IE,2018,7704,0.0
IT,2018,7704,0.0
LT,2018,7704,0.0
LU,2018,7704,0.0
LV,2018,7704,0.0
NL,2018,7704,0.0
NO,2018,7704,0.0
PL,2018,7704,0.0
PT,2018,7704,0.0
RO,2018,7704,0.0
SE,2018,7704,0.0
SI,2018,7704,0.0
SK,2018,7704,0.0
TR,2018,7704,0.0
UK,2018,7704,0.0
NONEU_Balkan,2018,7704,0.0
AT,2025,7704,0.0
BE,2025,7704,0.0
BG,2025,7704,0.0
CH,2025,7704,0.0
CZ,2025,7704,0.0
DE,2025,7704,0.0
DK,2025,7704,0.0
EE,2025,7704,0.0
ES,2025,7704,0.0
FI,2025,7704,0.0
FR,2025,7704,0.0
GR,2025,7704,0.0
HR,2025,7704,0.0
HU,2025,7704,0.0
IE,2025,7704,0.0
IT,2025,7704,0.0
LT,2025,7704,0.0
LU,2025,7704,0.0
LV,2025,7704,0.0
NL,2025,7704,0.0
NO,2025,7704,0.0
PL,2025,7704,0.0
PT,2025,7704,0.0
RO,2025,7704,0.0
SE,2025,7704,0.0
SI,2025,7704,0.0
SK,2025,7704,0.0
TR,2025,7704,0.0
UK,2025,7704,0.0
NONEU_Balkan,2025,7704,0.0
AT,2030,7704,0.0
BE,2030,7704,0.0
BG,2030,7704,0.0
CH,2030,7704,0.0
CZ,2030,7704,0.0
DE,2030,7704,0.0
DK,2030,7704,0.0
EE,2030,7704,0.0
ES,2030,7704,0.0
FI,2030,7704,0.0
FR,2030,7704,0.0
GR,2030,7704,0.0
HR,2030,7704,0.0
HU,2030,7704,0.0
IE,2030,7704,0.0
IT,2030,7704,0.0
LT,2030,7704,0.0
LU,2030,7704,0.0
LV,2030,7704,0.0
NL,2030,7704,0.0
NO,2030,7704,0.0
PL,2030,7704,0.0
PT,2030,7704,0.0
RO,2030,7704,0.0
SE,2030,7704,0.0
SI,2030,7704,0.0
SK,2030,7704,0.0
TR,2030,7704,0.0
UK,2030,7704,0.0
NONEU_Balkan,2030,7704,0.0
AT,2035,7704,0.0
BE,2035,7704,0.0
BG,2035,7704,0.0
CH,2035,7704,0.0
CZ,2035,7704,0.0
DE,2035,7704,0.0
DK,2035,7704,0.0
EE,2035,7704,0.0
ES,2035,7704,0.0
FI,2035,7704,0.0
FR,2035,7704,0.0
GR,2035,7704,0.0
HR,2035,7704,0.0
HU,2035,7704,0.0
IE,2035,7704,0.0
IT,2035,7704,0.0
LT,2035,7704,0.0
LU,2035,7704,0.0
LV,2035,7704,0.0
NL,2035,7704,0.0
NO,2035,7704,0.0
PL,2035,7704,0.0
PT,2035,7704,0.0
RO,2035,7704,0.0
SE,2035,7704,0.0
SI,2035,7704,0.0
SK,2035,7704,0.0
TR,2035,7704,0.0
UK,2035,7704,0.0
NONEU_Balkan,2035,7704,0.0
AT,2040,7704,0.0
BE,2040,7704,0.0
BG,2040,7704,0.0
CH,2040,7704,0.0
CZ,2040,7704,0.0
DE,2040,7704,0.0
DK,2040,7704,0.0
EE,2040,7704,0.0
ES,2040,7704,0.0
FI,2040,7704,0.0
FR,2040,7704,0.0
GR,2040,7704,0.0
HR,2040,7704,0.0
HU,2040,7704,0.0
IE,2040,7704,0.0
IT,2040,7704,0.0
LT,2040,7704,0.0
LU,2040,7704,0.0
LV,2040,7704,0.0
NL,2040,7704,0.0
NO,2040,7704,0.0
PL,2040,7704,0.0
PT,2040,7704,0.0
RO,2040,7704,0.0
SE,2040,7704,0.0
SI,2040,7704,0.0
SK,2040,7704,0.0
TR,2040,7704,0.0
UK,2040,7704,0.0
NONEU_Balkan,2040,7704,0.0
AT,2045,7704,0.0
BE,2045,7704,0.0
BG,2045,7704,0.0
CH,2045,7704,0.0
CZ,2045,7704,0.0
DE,2045,7704,0.0
DK,2045,7704,0.0
EE,2045,7704,0.0
ES,2045,7704,0.0
FI,2045,7704,0.0
FR,2045,7704,0.0
GR,2045,7704,0.0
HR,2045,7704,0.0
HU,2045,7704,0.0
IE,2045,7704,0.0
IT,2045,7704,0.0
LT,2045,7704,0.0
LU,2045,7704,0.0
LV,2045,7704,0.0
NL,2045,7704,0.0
NO,2045,7704,0.0
PL,2045,7704,0.0
PT,2045,7704,0.0
RO,2045,7704,0.0
SE,2045,7704,0.0
SI,2045,7704,0.0
SK,2045,7704,0.0
TR,2045,7704,0.0
UK,2045,7704,0.0
NONEU_Balkan,2045,7704,0.0
AT,2050,7704,0.0
BE,2050,7704,0.0
BG,2050,7704,0.0
CH,2050,7704,0.0
CZ,2050,7704,0.0
DE,2050,7704,0.0
DK,2050,7704,0.0
EE,2050,7704,0.0
ES,2050,7704,0.0
FI,2050,7704,0.0
FR,2050,7704,0.0
GR,2050,7704,0.0
HR,2050,7704,0.0
HU,2050,7704,0.0
IE,2050,7704,0.0
IT,2050,7704,0.0
LT,2050,7704,0.0
LU,2050,7704,0.0
LV,2050,7704,0.0
NL,2050,7704,0.0
NO,2050,7704,0.0
PL,2050,7704,0.0
PT,2050,7704,0.0
RO,2050,7704,0.0
SE,2050,7704,0.0
SI,2050,7704,0.0
SK,2050,7704,0.0
TR,2050,7704,0.0
UK,2050,7704,0.0
NONEU_Balkan,2050,7704,0.0
